2023-11-23 21:01:50,183 INFO    MainThread:227529 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-23 21:01:50,184 INFO    MainThread:227529 [wandb_setup.py:_flush():76] Configure stats pid to 227529
2023-11-23 21:01:50,184 INFO    MainThread:227529 [wandb_setup.py:_flush():76] Loading settings from /home/UO281798/.config/wandb/settings
2023-11-23 21:01:50,184 INFO    MainThread:227529 [wandb_setup.py:_flush():76] Loading settings from /home/UO281798/DeepLearning/wandb/settings
2023-11-23 21:01:50,184 INFO    MainThread:227529 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2023-11-23 21:01:50,184 INFO    MainThread:227529 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-23 21:01:50,184 INFO    MainThread:227529 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': '1123-2.py', 'program_abspath': '/home/UO281798/DeepLearning/1123-2.py', 'program': '/home/UO281798/DeepLearning/1123-2.py'}
2023-11-23 21:01:50,184 INFO    MainThread:227529 [wandb_init.py:_log_setup():524] Logging user logs to /home/UO281798/DeepLearning/wandb/run-20231123_210150-tkuyzyya/logs/debug.log
2023-11-23 21:01:50,184 INFO    MainThread:227529 [wandb_init.py:_log_setup():525] Logging internal logs to /home/UO281798/DeepLearning/wandb/run-20231123_210150-tkuyzyya/logs/debug-internal.log
2023-11-23 21:01:50,184 INFO    MainThread:227529 [wandb_init.py:init():564] calling init triggers
2023-11-23 21:01:50,185 INFO    MainThread:227529 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'architecture': 'resnet', 'depth': 101, 'dataset': 'NIPS4Bplus', 'epochs': 50, 'batch_size': 64}
2023-11-23 21:01:50,185 INFO    MainThread:227529 [wandb_init.py:init():614] starting backend
2023-11-23 21:01:50,185 INFO    MainThread:227529 [wandb_init.py:init():618] setting up manager
2023-11-23 21:01:50,187 INFO    MainThread:227529 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-11-23 21:01:50,188 INFO    MainThread:227529 [wandb_init.py:init():624] backend started and connected
2023-11-23 21:01:50,192 INFO    MainThread:227529 [wandb_init.py:init():716] updated telemetry
2023-11-23 21:01:50,202 INFO    MainThread:227529 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-23 21:01:50,672 INFO    MainThread:227529 [wandb_run.py:_on_init():2254] communicating current version
2023-11-23 21:01:50,773 INFO    MainThread:227529 [wandb_run.py:_on_init():2263] got version response 
2023-11-23 21:01:50,773 INFO    MainThread:227529 [wandb_init.py:init():800] starting run threads in backend
2023-11-23 21:01:54,089 INFO    MainThread:227529 [wandb_run.py:_console_start():2233] atexit reg
2023-11-23 21:01:54,090 INFO    MainThread:227529 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-23 21:01:54,090 INFO    MainThread:227529 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-23 21:01:54,090 INFO    MainThread:227529 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-23 21:01:54,091 INFO    MainThread:227529 [wandb_init.py:init():841] run started, returning control to user process
2023-11-23 21:27:53,816 INFO    MainThread:227529 [wandb_run.py:_finish():1962] finishing run bimo99b9/BirdNet/tkuyzyya
2023-11-23 21:27:53,816 INFO    MainThread:227529 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2023-11-23 21:27:53,816 INFO    MainThread:227529 [wandb_run.py:_restore():2185] restore
2023-11-23 21:27:53,816 INFO    MainThread:227529 [wandb_run.py:_restore():2191] restore done
2023-11-23 21:28:00,652 INFO    MainThread:227529 [wandb_run.py:_footer_history_summary_info():3760] rendering history
2023-11-23 21:28:00,653 INFO    MainThread:227529 [wandb_run.py:_footer_history_summary_info():3792] rendering summary
2023-11-23 21:28:00,659 INFO    MainThread:227529 [wandb_run.py:_footer_sync_info():3719] logging synced files
