2023-11-30 18:55:30,074 INFO    MainThread:2448937 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-30 18:55:30,075 INFO    MainThread:2448937 [wandb_setup.py:_flush():76] Configure stats pid to 2448937
2023-11-30 18:55:30,075 INFO    MainThread:2448937 [wandb_setup.py:_flush():76] Loading settings from /home/UO281798/.config/wandb/settings
2023-11-30 18:55:30,075 INFO    MainThread:2448937 [wandb_setup.py:_flush():76] Loading settings from /home/UO281798/DeepLearning/wandb/settings
2023-11-30 18:55:30,075 INFO    MainThread:2448937 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2023-11-30 18:55:30,075 INFO    MainThread:2448937 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-30 18:55:30,075 INFO    MainThread:2448937 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': '1130-3.py', 'program_abspath': '/home/UO281798/DeepLearning/1130-3.py', 'program': '/home/UO281798/DeepLearning/1130-3.py'}
2023-11-30 18:55:30,075 INFO    MainThread:2448937 [wandb_init.py:_log_setup():524] Logging user logs to /home/UO281798/DeepLearning/wandb/run-20231130_185530-n13jaxaw/logs/debug.log
2023-11-30 18:55:30,075 INFO    MainThread:2448937 [wandb_init.py:_log_setup():525] Logging internal logs to /home/UO281798/DeepLearning/wandb/run-20231130_185530-n13jaxaw/logs/debug-internal.log
2023-11-30 18:55:30,075 INFO    MainThread:2448937 [wandb_init.py:init():564] calling init triggers
2023-11-30 18:55:30,075 INFO    MainThread:2448937 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'architecture': 'resnet', 'depth': 101, 'dataset': 'NIPS4Bplus', 'epochs': 50, 'batch_size': 128, 'preprocessing': 'minimal', 'dropout': 0.2, 'augmentation': 'yes'}
2023-11-30 18:55:30,076 INFO    MainThread:2448937 [wandb_init.py:init():614] starting backend
2023-11-30 18:55:30,076 INFO    MainThread:2448937 [wandb_init.py:init():618] setting up manager
2023-11-30 18:55:30,078 INFO    MainThread:2448937 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-11-30 18:55:30,079 INFO    MainThread:2448937 [wandb_init.py:init():624] backend started and connected
2023-11-30 18:55:30,083 INFO    MainThread:2448937 [wandb_init.py:init():716] updated telemetry
2023-11-30 18:55:30,092 INFO    MainThread:2448937 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-30 18:55:30,652 INFO    MainThread:2448937 [wandb_run.py:_on_init():2254] communicating current version
2023-11-30 18:55:30,746 INFO    MainThread:2448937 [wandb_run.py:_on_init():2263] got version response 
2023-11-30 18:55:30,746 INFO    MainThread:2448937 [wandb_init.py:init():800] starting run threads in backend
2023-11-30 18:55:34,234 INFO    MainThread:2448937 [wandb_run.py:_console_start():2233] atexit reg
2023-11-30 18:55:34,234 INFO    MainThread:2448937 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-30 18:55:34,234 INFO    MainThread:2448937 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-30 18:55:34,235 INFO    MainThread:2448937 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-30 18:55:34,235 INFO    MainThread:2448937 [wandb_init.py:init():841] run started, returning control to user process
2023-11-30 19:45:04,131 INFO    MainThread:2448937 [wandb_run.py:_finish():1962] finishing run bimo99b9/BirdNet/n13jaxaw
2023-11-30 19:45:04,131 INFO    MainThread:2448937 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2023-11-30 19:45:04,131 INFO    MainThread:2448937 [wandb_run.py:_restore():2185] restore
2023-11-30 19:45:04,131 INFO    MainThread:2448937 [wandb_run.py:_restore():2191] restore done
2023-11-30 19:45:10,352 INFO    MainThread:2448937 [wandb_run.py:_footer_history_summary_info():3760] rendering history
2023-11-30 19:45:10,353 INFO    MainThread:2448937 [wandb_run.py:_footer_history_summary_info():3792] rendering summary
2023-11-30 19:45:10,360 INFO    MainThread:2448937 [wandb_run.py:_footer_sync_info():3719] logging synced files
